,tradeDate,closeIndex,highestIndex,lowestIndex,turnoverVol,CHG,CHGPct
0,2006-03-01,1056.62,1057.69,1049.64,1942573000,3.61,0.003428
1,2006-03-02,1038.67,1056.05,1034.68,2487786100,-17.95,-0.016988
2,2006-03-03,1041.68,1043.42,1029.56,2120053900,3.01,0.002898
3,2006-03-06,1038.87,1044.42,1036.11,1787096300,-2.81,-0.002698
4,2006-03-07,1014.97,1037.98,1013.14,1933651600,-23.9,-0.023006
5,2006-03-08,1009.27,1014.97,999.93,1746305500,-5.7,-0.005616
6,2006-03-09,1004.34,1010.91,1002.2,1273509900,-4.93,-0.004885
7,2006-03-10,1008.9,1011.76,1004.69,1188798300,4.56,0.00454
8,2006-03-13,1019.86,1020.88,1008.51,1176591100,10.96,0.010863
9,2006-03-14,1018.27,1021.65,1012.11,1134803000,-1.59,-0.001559
10,2006-03-15,1028.96,1028.97,1017.08,1484206800,10.69,0.010498
11,2006-03-16,1027.62,1029.81,1025.52,1478433900,-1.34,-0.001302
12,2006-03-17,1024.02,1029.56,1021.08,1500192400,-3.6,-0.003503
13,2006-03-20,1037.66,1037.91,1019.65,1538991200,13.64,0.01332
14,2006-03-21,1040.76,1047.05,1036.24,1907766200,3.1,0.002987
15,2006-03-22,1047.67,1047.94,1036.71,1864057500,6.91,0.006639
16,2006-03-23,1048.54,1049.32,1042.82,2046788500,0.87,0.00083
17,2006-03-24,1042.6,1051.76,1041.23,2009823700,-5.94,-0.005665
18,2006-03-27,1050.71,1050.71,1037.08,1713407000,8.11,0.007779
19,2006-03-28,1055.98,1056.52,1048.64,2227399900,5.27,0.005016
20,2006-03-29,1065.29,1074.04,1057.68,3052634500,9.31,0.008816
21,2006-03-30,1055.63,1067.99,1055.14,2201249400,-9.66,-0.009068
22,2006-03-31,1061.09,1061.47,1050.22,2227619000,5.46,0.005172
23,2006-04-03,1079.32,1079.37,1061.96,2772976100,18.23,0.01718
24,2006-04-04,1089.37,1089.37,1076.2,3114875700,10.05,0.009311
25,2006-04-05,1099.97,1100.56,1089.55,3293691400,10.6,0.00973
26,2006-04-06,1103.24,1109.68,1097.32,3616704900,3.27,0.002973
27,2006-04-07,1103.15,1105.1,1091.89,3257086000,-0.09,-8.2e-05
28,2006-04-10,1117.91,1118.08,1100.69,3206752000,14.76,0.01338
29,2006-04-11,1123.31,1126.09,1112.01,3560752000,5.4,0.00483
30,2006-04-12,1117.07,1123.78,1116.15,3033384500,-6.24,-0.005555
31,2006-04-13,1093.93,1122.39,1093.51,3382414600,-23.14,-0.020715
32,2006-04-14,1118.61,1118.67,1091.67,3352796200,24.68,0.022561
33,2006-04-17,1124.41,1129.15,1114.53,3570454800,5.8,0.005185
34,2006-04-18,1131.28,1135.45,1119.27,3231722300,6.87,0.00611
35,2006-04-19,1138.24,1140.41,1125.2,3432289800,6.96,0.006152
36,2006-04-20,1134.38,1142.54,1127.09,3788565100,-3.86,-0.003391
37,2006-04-21,1149.16,1152.89,1127.65,4077291000,14.78,0.013029
38,2006-04-24,1142.7,1160.58,1135.75,4593621900,-6.46,-0.005621
39,2006-04-25,1141.93,1149.54,1123.1,3861112500,-0.77,-0.000674
40,2006-04-26,1155.73,1162.02,1142.07,4182430100,13.8,0.012085
41,2006-04-27,1155.27,1159.9,1145.26,3198045100,-0.46,-0.000398
42,2006-04-28,1172.35,1173.88,1133.19,4080185800,17.08,0.014784
43,2006-05-08,1218.44,1218.86,1179.58,4491282100,46.09,0.039314
44,2006-05-09,1251.61,1252.76,1222.68,5599386100,33.17,0.027223
45,2006-05-10,1265.93,1273.68,1243.47,5566704300,14.32,0.011441
46,2006-05-11,1255.04,1294.87,1254.35,6113372500,-10.89,-0.008602
47,2006-05-12,1296.26,1296.38,1252.68,5492033100,41.22,0.032844
48,2006-05-15,1352.16,1352.41,1301.8,7353400500,55.9,0.043124
49,2006-05-16,1331.13,1387.4,1322.14,7965817000,-21.03,-0.015553
50,2006-05-17,1335.52,1356.13,1306.87,6182328700,4.39,0.003298
51,2006-05-18,1331.2,1340.52,1301.11,5205636300,-4.32,-0.003235
52,2006-05-19,1366.1,1371.22,1329.32,6712386900,34.9,0.026217
53,2006-05-22,1373.67,1387.57,1360.35,6626217200,7.57,0.005541
54,2006-05-23,1317.65,1365.1,1316.55,5687238800,-56.02,-0.040781
55,2006-05-24,1308.24,1351.31,1277.33,5117663200,-9.41,-0.007142
56,2006-05-25,1307.7,1316.48,1285.73,3404643600,-0.54,-0.000413
57,2006-05-26,1331.02,1331.45,1309.46,3638566500,23.32,0.017833
58,2006-05-29,1366.29,1366.84,1330.63,4448001100,35.27,0.026498
59,2006-05-30,1378.76,1384.68,1360.55,4476102700,12.47,0.009127
60,2006-05-31,1365.45,1386.94,1355.01,4733588300,-13.31,-0.009654
61,2006-06-01,1402.88,1403.27,1362.94,5349345300,37.43,0.027412
62,2006-06-02,1390.12,1411.78,1382.0,6410916200,-12.76,-0.009096
63,2006-06-05,1403.16,1403.3,1362.72,5510181900,13.04,0.00938
64,2006-06-06,1399.14,1413.11,1391.9,4683527800,-4.02,-0.002865
65,2006-06-07,1320.23,1398.18,1319.7,5204764700,-78.91,-0.056399
66,2006-06-08,1325.98,1331.89,1286.9,4567750900,5.75,0.004355
67,2006-06-09,1294.19,1329.84,1293.05,3739262300,-31.79,-0.023975
68,2006-06-12,1297.67,1308.12,1275.4,2503333100,3.48,0.002689
69,2006-06-13,1298.28,1312.13,1284.62,2782303100,0.61,0.00047
70,2006-06-14,1283.88,1291.69,1269.52,2880166100,-14.4,-0.011092
71,2006-06-15,1285.39,1300.11,1280.5,2324130200,1.51,0.001176
72,2006-06-16,1318.01,1318.02,1290.0,2840803200,32.62,0.025378
73,2006-06-19,1334.89,1341.99,1294.9,3072625800,16.88,0.012807
